age,position_cat,market_value,page_views,fpl_value,fpl_points,region,big_club,fpl_sel
27,3,5.0,154,5.0,86,1.0,0,0.6
28,3,7.0,208,4.5,75,1.0,0,2.0
30,3,5.0,217,5.0,61,1.0,0,1.1
36,3,1.0,195,4.5,51,2.0,0,0.6
24,3,8.0,385,5.0,47,4.0,0,0.3
27,3,3.0,210,4.5,46,1.0,0,0.3
26,2,10.0,407,5.0,42,2.0,0,0.2
29,1,1.5,327,4.5,24,4.0,0,0.1
24,1,6.0,248,5.5,18,1.0,0,0.0
29,1,6.0,226,5.0,7,4.0,0,0.1
27,3,6.0,186,4.5,6,4.0,0,0.0
21,2,5.0,685,4.5,6,1.0,0,16.4
38,4,0.25,188,4.0,0,3.0,0,2.0
23,1,25.0,1413,7.5,144,1.0,0,0.7
32,3,12.0,491,6.0,135,1.0,0,10.0
28,3,17.0,843,6.5,133,2.0,0,0.4
32,3,8.0,599,5.5,127,2.0,0,4.7
29,1,13.0,417,6.5,119,2.0,0,3.2
24,3,18.0,1362,5.5,113,1.0,0,13.1
34,3,2.0,566,5.0,104,1.0,0,6.3
23,4,15.0,719,5.0,102,1.0,0,14.6
27,4,5.0,304,4.5,89,2.0,0,0.4
27,2,18.0,705,5.0,80,4.0,0,1.3
31,1,15.0,7664,7.5,76,1.0,0,20.9
26,3,12.0,460,5.0,69,3.0,0,0.1
34,4,2.0,623,4.5,68,2.0,0,0.3
36,2,1.5,1331,4.5,68,1.0,0,1.7
19,2,8.0,1354,5.5,63,1.0,0,1.0
20,3,5.0,344,4.5,54,1.0,0,2.9
28,1,20.0,896,6.5,45,4.0,0,0.2
27,2,22.0,1272,5.0,37,2.0,0,0.9
27,3,2.0,232,4.5,31,2.0,0,0.4
26,2,15.0,306,5.0,23,2.0,0,0.1
30,1,5.0,504,5.5,22,1.0,0,0.2
20,1,3.5,343,5.0,17,1.0,0,0.3
19,1,5.0,1387,5.5,16,1.0,0,0.3
22,3,0.5,219,4.0,9,1.0,0,1.7
20,3,0.25,53,4.5,1,1.0,0,0.2
24,2,5.0,238,4.5,0,2.0,0,0.2
24,1,18.0,428,7.5,0,2.0,0,3.6
22,1,10.0,373,7.5,0,2.0,0,2.1
21,4,0.25,36,4.0,0,1.0,0,2.4
28,4,1.5,56,4.5,0,2.0,0,0.5
27,3,2.0,73,4.5,0,2.0,0,0.9
28,3,1.5,84,4.5,0,2.0,0,0.7
25,3,2.0,65,5.0,0,1.0,0,1.1
26,3,1.5,116,4.5,0,2.0,0,0.2
